shelfNetworkRole,NE,shelfHardware,interface,Recurso,portBandwidth,EstadoRed,EstadoLisy,DescRed,DescLisy,EvEstado
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/3,IC1.HOR1100GE9/0/3,100GE,up,Available,TRK:ENLACE:BEL1NA (Hu0/15/0/5) (32WPU01 1/16/C1) Linea:15008587,NaN,revisar
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/4,IC1.HOR1100GE9/0/4,100GE,up,Available,TRK:ENLACE:BEL1NA (Hu0/9/0/6)  (32WPU01 1/16/C2) Linea:15008383,NaN,revisar
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/19,IC1.HOR1100GE9/0/19,100GE,up,Available,TRK:ENLACE:ROC2.AVA1 (Hu0/0/0/11) (WDM3.HOR1 6/8/C2),NaN,revisar
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/1/3,IC1.HOR1100GE9/1/3,100GE,up,Available,TRK:ENLACE:ROE1.SLO1 (Hu0/7/0/0) (S004_8 98HOR02 8/2) Linea:15009213,NaN,revisar
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/1/4,IC1.HOR1100GE9/1/4,100GE,up,Available,TRK:ENLACE:ROE1.SLO1 (Hu0/7/0/1) (S004_9 98HOR02 14/1) Linea:15009214,NaN,revisar
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/1/5,IC1.HOR1100GE9/1/5,100GE,up,Available,TRK:ENLACE:ROE1.SLO1 (Hu0/7/0/2) (S004_10 98HOR02 14/2) Linea:15009215,NaN,revisar
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/1/6,IC1.HOR1100GE9/1/6,100GE,up,Available,TRK:ENLACE:BEL1NA (Hu0/17/0/2) (98HOR01 3/1) Linea: 15009094,NaN,revisar
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/1/7,IC1.HOR1100GE9/1/7,100GE,up,Available,TRK:ENLACE:BEL1NA (Hu0/17/0/3) (98HOR01 3/2) Linea: 15009095,NaN,revisar
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/1/8,IC1.HOR1100GE9/1/8,100GE,up,Available,TRK:ENLACE:BEL1NA (Hu0/17/0/4) (98HOR01 5/1) Linea: 15009096,NaN,revisar
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/1/9,IC1.HOR1100GE9/1/9,100GE,up,Available,TRK:ENLACE:BEL1NA (Hu0/17/0/5) (98HOR01 5/2) Linea: 15009097,NaN,revisar
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/1/10,IC1.HOR1100GE9/1/10,100GE,up,Available,TRK:ENLACE:BEL1NA (Hu0/17/0/6) (98HOR01 4/1) Linea: 15009098,NaN,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE2/1/7,IC1.SLO1100GE2/1/7,100GE,up,Reserved,TRK:ENLACE:ROE1.SLO1 (Hu1/6/0/0) Linea:15009223,15009223 - Ext B: ROE1.SLO1	Hu0/0/0/0,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE2/1/8,IC1.SLO1100GE2/1/8,100GE,up,Reserved,TRK:ENLACE:ROE1.SLO1 (Hu1/6/0/1) Linea:15009224,15009224 - Ext B: ROE1.SLO1 Hu0/0/0/1,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE2/1/9,IC1.SLO1100GE2/1/9,100GE,up,Reserved,TRK:ENLACE:ROE1.SLO1 (Hu1/1/0/0) Linea:15009225,15009225 - Ext B: ROE1.SLO1 Hu0/1/0/0,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE2/1/10,IC1.SLO1100GE2/1/10,100GE,up,Reserved,TRK:ENLACE:ROE1.SLO1 (Hu1/1/0/1) Linea:15009226,15009226 - Ext B:ROE1.SLO1 Hu0/1/0/1.,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE2/1/11,IC1.SLO1100GE2/1/11,100GE,up,Reserved,TRK:ENLACE:ROE1.SLO1 (Hu1/1/0/2) Linea:15009227,15009227 - Ext B: ROE1.SLO1 Hu0/1/0/2,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE2/1/12,IC1.SLO1100GE2/1/12,100GE,up,Reserved,TRK:ENLACE:ROE1.SLO1 (Hu1/7/0/0) Linea:15009228,15009228 - Ext B: ROE1.SLO1 Hu1/7/0/0,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE2/1/13,IC1.SLO1100GE2/1/13,100GE,up,Reserved,TRK:ENLACE:ROE1.SLO1 (Hu1/7/0/1) Linea:15009229,15009229 - Ext B: ROE1.SLO1 Hu1/7/0/1,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE3/0/0,IC1.SLO1100GE3/0/0,100GE,up,Available,TRK:ENLACE:CEN1NA (Hu0/2/0/0) (S2-006 88SLO01 0/20/1) Linea:15009134,NaN,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE3/0/1,IC1.SLO1100GE3/0/1,100GE,up,Available,TRK:ENLACE:CEN1NA (Hu0/2/0/1) (S2-007 88SLO01 0/3/1) Linea:15009135,NaN,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE3/0/2,IC1.SLO1100GE3/0/2,100GE,up,Available,TRK:ENLACE:CEN1NA (Hu0/2/0/2) (S2-007 88SLO01 0/1/1) Linea:15009136,NaN,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE3/0/3,IC1.SLO1100GE3/0/3,100GE,up,Available,TRK:ENLACE:CEN1NA (Hu0/2/0/3) (S2-003 88SLO01 0/22/1) Linea:15005388,NaN,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE3/0/4,IC1.SLO1100GE3/0/4,100GE,up,Available,TRK:ENLACE:CEN1NA (Hu0/2/0/4) (S2-004 88SLO01 0/26/1) Linea:13006871,NaN,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE3/0/5,IC1.SLO1100GE3/0/5,100GE,up,Available,TRK:ENLACE:CEN1NA (Hu0/2/0/5) (S2-001 88SLO01 0/29/1) Linea:15003454,NaN,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE3/0/6,IC1.SLO1100GE3/0/6,100GE,up,Available,TRK:ENLACE:CEN1NA (Hu0/2/0/6) (S2-002 88SLO02 0/29/1) Linea:15003700,NaN,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE3/0/7,IC1.SLO1100GE3/0/7,100GE,up,Available,TRK:ENLACE:CEN1NA (Hu0/2/0/7) (S2-004 88SLO02 0/26/1) Linea:13006870,NaN,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE8/0/0,IC1.SLO1100GE8/0/0,100GE,up,Available,TRK:ENLACE:RSC1NA (Hu0/5/0/0) (S4-005 88SLO01 0/24/1) Linea:11004839,NaN,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE8/0/1,IC1.SLO1100GE8/0/1,100GE,up,Available,TRK:ENLACE:RSC1NA (Hu0/5/0/1) (S4-002 88SLO02 0/33/1) Linea:15003699,NaN,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE8/0/2,IC1.SLO1100GE8/0/2,100GE,up,Available,TRK:ENLACE:RSC1NA (Hu0/5/0/2) (S4-001 88SLO01 0/33/1) Linea:15003452,NaN,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE8/0/3,IC1.SLO1100GE8/0/3,100GE,up,Available,TRK:ENLACE:RSC1NA (Hu0/5/0/3) (S4-003 88SLO02 0/22/1) Linea:15005387,NaN,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE8/0/4,IC1.SLO1100GE8/0/4,100GE,up,Available,TRK:ENLACE:RSC1NA (Hu0/5/0/4) (S4-004 88SLO02 0/24/1) Linea:11004838,NaN,revisar
